PDBId,FileName
1abz,1abz.cif.gz
1jzk,1jzk.cif.gz
3g1c,3g1c.cif.gz
4a47,4a47.cif.gz
3aux,3aux.cif.gz
1wz7,1wz7.cif.gz
5vp5,5vp5.cif.gz
4qgi,4qgi.cif.gz
1j0a,1j0a.cif.gz
4fer,4fer.cif.gz
3tg2,3tg2.cif.gz
1r0e,1r0e.cif.gz
3w1x,3w1x.cif.gz
5u4h,5u4h.cif.gz
3kuw,3kuw.cif.gz
3uf3,3uf3.cif.gz
3bft,3bft.cif.gz
5w8s,5w8s.cif.gz
1yai,1yai.cif.gz
3klm,3klm.cif.gz
3mbd,3mbd.cif.gz
1ivl,1ivl.cif.gz
4j0n,4j0n.cif.gz
4p2p,4p2p.cif.gz
2gxg,2gxg.cif.gz
3ipi,3ipi.cif.gz
1vpi,1vpi.cif.gz
6dlx,6dlx.cif.gz
2vc1,2vc1.cif.gz
2y43,2y43.cif.gz
4k6a,4k6a.cif.gz
3e7g,3e7g.cif.gz
4ghm,4ghm.cif.gz
4ovy,4ovy.cif.gz
2old,2old.cif.gz
1rz0,1rz0.cif.gz
2qld,2qld.cif.gz
3p0f,3p0f.cif.gz
2xlw,2xlw.cif.gz
1zos,1zos.cif.gz
1xp6,1xp6.cif.gz
4es1,4es1.cif.gz
4gqv,4gqv.cif.gz
4pun,4pun.cif.gz
2ped,2ped.cif.gz
6fri,6fri.cif.gz
4ng6,4ng6.cif.gz
1pbb,1pbb.cif.gz
3i6o,3i6o.cif.gz
4opf,4opf.cif.gz
4y0p,4y0p.cif.gz
4nq1,4nq1.cif.gz
4eib,4eib.cif.gz
4b1r,4b1r.cif.gz
2f8c,2f8c.cif.gz
5frt,5frt.cif.gz
1sei,1sei.cif.gz
1uak,1uak.cif.gz
2y4r,2y4r.cif.gz
3r88,3r88.cif.gz
6g9c,6g9c.cif.gz
1s60,1s60.cif.gz
5jve,5jve.cif.gz
1lgp,1lgp.cif.gz
3tm1,3tm1.cif.gz
3qy0,3qy0.cif.gz
1tfg,1tfg.cif.gz
3av7,3av7.cif.gz
5vog,5vog.cif.gz
3i0j,3i0j.cif.gz
3g26,3g26.cif.gz
1jfg,1jfg.cif.gz
4ics,4ics.cif.gz
3g4q,3g4q.cif.gz
4qyt,4qyt.cif.gz
5z5y,5z5y.cif.gz
2qii,2qii.cif.gz
6g7a,6g7a.cif.gz
6dyv,6dyv.cif.gz
4xbl,4xbl.cif.gz
3vmj,3vmj.cif.gz
4q8u,4q8u.cif.gz
5ezg,5ezg.cif.gz
2zz2,2zz2.cif.gz
5vo3,5vo3.cif.gz
2w7v,2w7v.cif.gz
1jax,1jax.cif.gz
3t7m,3t7m.cif.gz
4cf9,4cf9.cif.gz
5qj9,5qj9.cif.gz
3vtk,3vtk.cif.gz
3m3f,3m3f.cif.gz
1md3,1md3.cif.gz
4h4z,4h4z.cif.gz
4s0z,4s0z.cif.gz
5g6n,5g6n.cif.gz
5ckl,5ckl.cif.gz
4ucv,4ucv.cif.gz
4ig6,4ig6.cif.gz
1imf,1imf.cif.gz
5nnb,5nnb.cif.gz
2riu,2riu.cif.gz
5ddt,5ddt.cif.gz
1pn9,1pn9.cif.gz
1oh9,1oh9.cif.gz
6gna,6gna.cif.gz
6e4b,6e4b.cif.gz
3sf0,3sf0.cif.gz
4hae,4hae.cif.gz
4f3g,4f3g.cif.gz
3igr,3igr.cif.gz
3hgj,3hgj.cif.gz
2rgt,2rgt.cif.gz
4ops,4ops.cif.gz
1rcb,1rcb.cif.gz
1xl5,1xl5.cif.gz
6b8v,6b8v.cif.gz
4k8m,4k8m.cif.gz
2aa4,2aa4.cif.gz
5qjn,5qjn.cif.gz
2pqz,2pqz.cif.gz
1zdf,1zdf.cif.gz
4x06,4x06.cif.gz
5goc,5goc.cif.gz
3v3m,3v3m.cif.gz
3t31,3t31.cif.gz
4rd9,4rd9.cif.gz
2vr6,2vr6.cif.gz
3eh7,3eh7.cif.gz
6ecm,6ecm.cif.gz
3gdl,3gdl.cif.gz
4c6b,4c6b.cif.gz
1n5i,1n5i.cif.gz
1nsj,1nsj.cif.gz
2owq,2owq.cif.gz
1xp1,1xp1.cif.gz
2fa1,2fa1.cif.gz
1y25,1y25.cif.gz
4w8s,4w8s.cif.gz
4ctz,4ctz.cif.gz
3w8q,3w8q.cif.gz
1qpn,1qpn.cif.gz
2q54,2q54.cif.gz
3guq,3guq.cif.gz
5i05,5i05.cif.gz
4ez8,4ez8.cif.gz
3ebw,3ebw.cif.gz
1wcv,1wcv.cif.gz
2jfm,2jfm.cif.gz
5w7h,5w7h.cif.gz
2zzt,2zzt.cif.gz
2a1h,2a1h.cif.gz
4cxt,4cxt.cif.gz
6csn,6csn.cif.gz
1njb,1njb.cif.gz
4ibg,4ibg.cif.gz
2vrb,2vrb.cif.gz
6f65,6f65.cif.gz
2v5b,2v5b.cif.gz
1kqb,1kqb.cif.gz
4i8w,4i8w.cif.gz
6fks,6fks.cif.gz
2ppw,2ppw.cif.gz
2avm,2avm.cif.gz
1rb7,1rb7.cif.gz
2nac,2nac.cif.gz
5lad,5lad.cif.gz
1xra,1xra.cif.gz
4yql,4yql.cif.gz
3jsq,3jsq.cif.gz
5e20,5e20.cif.gz
1jye,1jye.cif.gz
1mi3,1mi3.cif.gz
2ath,2ath.cif.gz
6gbf,6gbf.cif.gz
4rpo,4rpo.cif.gz
6gto,6gto.cif.gz
1v39,1v39.cif.gz
3wx4,3wx4.cif.gz
3sxy,3sxy.cif.gz
3fe3,3fe3.cif.gz
5vwq,5vwq.cif.gz
4hbe,4hbe.cif.gz
4ce3,4ce3.cif.gz
3le4,3le4.cif.gz
3ts1,3ts1.cif.gz
2fyr,2fyr.cif.gz
3w73,3w73.cif.gz
