PDBId,FileName,gz,cif,Comment
1A6M,1A6M.cif.gz,true,true,1A100RXray.txt
1BXO,1BXO.cif.gz,true,true,1A100RXray.txt
1BYI,1BYI.cif.gz,true,true,1A100RXray.txt
1C7K,1C7K.cif.gz,true,true,1A100RXray.txt
1CEX,1CEX.cif.gz,true,true,1A100RXray.txt
1DY5,1DY5.cif.gz,true,true,1A100RXray.txt
1EA7,1EA7.cif.gz,true,true,1A100RXray.txt
1EB6,1EB6.cif.gz,true,true,1A100RXray.txt
1EIC,1EIC.cif.gz,true,true,1A100RXray.txt
1EIE,1EIE.cif.gz,true,true,1A100RXray.txt
1EXR,1EXR.cif.gz,true,true,1A100RXray.txt
1FN8,1FN8.cif.gz,true,true,1A100RXray.txt
1FY4,1FY4.cif.gz,true,true,1A100RXray.txt
1FY5,1FY5.cif.gz,true,true,1A100RXray.txt
1G2Y,1G2Y.cif.gz,true,true,1A100RXray.txt
1G4I,1G4I.cif.gz,true,true,1A100RXray.txt
1G66,1G66.cif.gz,true,true,1A100RXray.txt
1GA6,1GA6.cif.gz,true,true,1A100RXray.txt
1GCI,1GCI.cif.gz,true,true,1A100RXray.txt
1GDN,1GDN.cif.gz,true,true,1A100RXray.txt
1GDQ,1GDQ.cif.gz,true,true,1A100RXray.txt
1GKM,1GKM.cif.gz,true,true,1A100RXray.txt
1GQV,1GQV.cif.gz,true,true,1A100RXray.txt
1GVK,1GVK.cif.gz,true,true,1A100RXray.txt
1GVT,1GVT.cif.gz,true,true,1A100RXray.txt
1GVU,1GVU.cif.gz,true,true,1A100RXray.txt
1GVW,1GVW.cif.gz,true,true,1A100RXray.txt
1GVX,1GVX.cif.gz,true,true,1A100RXray.txt
1GWE,1GWE.cif.gz,true,true,1A100RXray.txt
1HJ8,1HJ8.cif.gz,true,true,1A100RXray.txt
1HJ9,1HJ9.cif.gz,true,true,1A100RXray.txt
1I1W,1I1W.cif.gz,true,true,1A100RXray.txt
1IC6,1IC6.cif.gz,true,true,1A100RXray.txt
1IEE,1IEE.cif.gz,true,true,1A100RXray.txt
1IS9,1IS9.cif.gz,true,true,1A100RXray.txt
1IX9,1IX9.cif.gz,true,true,1A100RXray.txt
1IXB,1IXB.cif.gz,true,true,1A100RXray.txt
1IXH,1IXH.cif.gz,true,true,1A100RXray.txt
1J0P,1J0P.cif.gz,true,true,1A100RXray.txt
1JFB,1JFB.cif.gz,true,true,1A100RXray.txt
1JFC,1JFC.cif.gz,true,true,1A100RXray.txt
1K2A,1K2A.cif.gz,true,true,1A100RXray.txt
1K4I,1K4I.cif.gz,true,true,1A100RXray.txt
1K4P,1K4P.cif.gz,true,true,1A100RXray.txt
1K5C,1K5C.cif.gz,true,true,1A100RXray.txt
1KCC,1KCC.cif.gz,true,true,1A100RXray.txt
1KOI,1KOI.cif.gz,true,true,1A100RXray.txt
